COTE;SURFACE;VOLUME
145.67;7.95;295955.49
145.68;7.96;296725.96
145.69;7.97;297496.43
145.7;7.99;298266.9
145.71;8;299037.37
145.72;8.02;299807.84
145.73;8.03;300578.31
145.74;8.05;301348.78
145.75;8.06;302119.25
145.76;8.08;302889.72
145.77;8.09;303660.19
145.78;8.11;304430.66
145.79;8.12;305201.13
145.8;8.14;305971.6
145.81;8.15;306742.07
145.82;8.16;307512.54
145.83;8.18;308283.01
145.84;8.19;309053.48
145.85;8.21;309823.95
145.86;8.22;310594.42
145.87;8.24;311364.89
145.88;8.25;312135.36
145.89;8.27;312905.83
145.9;8.28;313676.3
145.91;8.3;314446.77
145.92;8.31;315217.24
145.93;8.33;315987.71
145.94;8.34;316758.18
145.95;8.35;317528.65
145.96;8.37;318299.12
145.97;8.38;319069.59
145.98;8.4;319840.06
145.99;8.41;320610.53
146;8.43;321381
146.01;8.45;322313.74
146.02;8.46;323246.48
146.03;8.48;324179.22
146.04;8.5;325111.96
146.05;8.52;326044.7
146.06;8.53;326977.44
146.07;8.55;327910.18
146.08;8.57;328842.92
146.09;8.59;329775.66
146.1;8.61;330708.4
146.11;8.62;331641.14
146.12;8.64;332573.88
146.13;8.66;333506.62
146.14;8.68;334439.36
146.15;8.69;335372.1
146.16;8.71;336304.84
146.17;8.73;337237.58
146.18;8.75;338170.32
146.19;8.77;339103.06
146.2;8.78;340035.8
146.21;8.8;340968.54
146.22;8.82;341901.28
146.23;8.84;342834.02
146.24;8.86;343766.76
146.25;8.87;344699.5
146.26;8.89;345632.24
146.27;8.91;346564.98
146.28;8.93;347497.72
146.29;8.94;348430.46
146.3;8.96;349363.2
146.31;8.98;350295.94
146.32;9;351228.68
146.33;9.02;352161.42
146.34;9.03;353094.16
146.35;9.05;354026.9
146.36;9.07;354959.64
146.37;9.09;355892.38
146.38;9.1;356825.12
146.39;9.12;357757.86
146.4;9.14;358690.6
146.41;9.16;359623.34
146.42;9.18;360556.08
146.43;9.19;361488.82
146.44;9.21;362421.56
146.45;9.23;363354.3
146.46;9.25;364287.04
146.47;9.27;365219.78
146.48;9.28;366152.52
146.49;9.3;367085.26
146.5;9.32;368018
146.51;9.34;368950.74
146.52;9.35;369883.48
146.53;9.37;370816.22
146.54;9.39;371748.96
146.55;9.41;372681.7
146.56;9.43;373614.44
146.57;9.44;374547.18
146.58;9.46;375479.92
146.59;9.48;376412.66
146.6;9.5;377345.4
146.61;9.51;378278.14
146.62;9.53;379210.88
146.63;9.55;380143.62
146.64;9.57;381076.36
146.65;9.59;382009.1
146.66;9.6;382941.84
146.67;9.62;383874.58
146.68;9.64;384807.32
146.69;9.66;385740.06
146.7;9.67;386672.8
146.71;9.69;387605.54
146.72;9.71;388538.28
146.73;9.73;389471.02
146.74;9.75;390403.76
146.75;9.76;391336.5
146.76;9.78;392269.24
146.77;9.8;393201.98
146.78;9.82;394134.72
146.79;9.84;395067.46
146.8;9.85;396000.2
146.81;9.87;396932.94
146.82;9.89;397865.68
146.83;9.91;398798.42
146.84;9.92;399731.16
146.85;9.94;400663.9
146.86;9.96;401596.64
146.87;9.98;402529.38
146.88;10;403462.12
146.89;10.01;404394.86
146.9;10.03;405327.6
